"","CodMun","Municipio"
"1",4001,"Abla"
"2",4002,"Abrucena"
"3",4003,"Adra"
"4",4004,"Albanchez"
"5",4005,"Alboloduy"
"6",4006,"Albox"
"7",4007,"Alcolea"
"8",4008,"Alcóntar"
"9",4009,"Alcudia de Monteagud"
"10",4010,"Alhabia"
"11",4011,"Alhama de Almería"
"12",4012,"Alicún"
"13",4013,"Almería"
"14",4014,"Almócita"
"15",4015,"Alsodux"
"16",4016,"Antas"
"17",4017,"Arboleas"
"18",4018,"Armuña de Almanzora"
"19",4019,"Bacares"
"20",4904,"Balanegra"
"21",4020,"Bayárcal"
"22",4021,"Bayarque"
"23",4022,"Bédar"
"24",4023,"Beires"
"25",4024,"Benahadux"
"26",4026,"Benitagla"
"27",4027,"Benizalón"
"28",4028,"Bentarique"
"29",4029,"Berja"
"30",4030,"Canjáyar"
"31",4031,"Cantoria"
"32",4032,"Carboneras"
"33",4033,"Castro de Filabres"
"34",4036,"Chercos"
"35",4037,"Chirivel"
"36",4034,"Cóbdar"
"37",4035,"Cuevas del Almanzora"
"38",4038,"Dalías"
"39",4902,"El Ejido"
"40",4041,"Enix"
"41",4043,"Felix"
"42",4044,"Fines"
"43",4045,"Fiñana"
"44",4046,"Fondón"
"45",4047,"Gádor"
"46",4049,"Garrucha"
"47",4050,"Gérgal"
"48",4051,"Huécija"
"49",4052,"Huércal de Almería"
"50",4053,"Huércal-Overa"
"51",4054,"Íllar"
"52",4055,"Instinción"
"53",4903,"La Mojonera"
"54",4056,"Laroya"
"55",4901,"Las Tres Villas"
"56",4057,"Laujar de Andarax"
"57",4058,"Líjar"
"58",4048,"Los Gallardos"
"59",4059,"Lubrín"
"60",4060,"Lucainena de las Torres"
"61",4061,"Lúcar"
"62",4062,"Macael"
"63",4063,"María"
"64",4064,"Mojácar"
"65",4065,"Nacimiento"
"66",4066,"Níjar"
"67",4067,"Ohanes"
"68",4068,"Olula de Castro"
"69",4069,"Olula del Río"
"70",4070,"Oria"
"71",4071,"Padules"
"72",4072,"Partaloa"
"73",4073,"Paterna del Río"
"74",4074,"Pechina"
"75",4075,"Pulpí"
"76",4076,"Purchena"
"77",4077,"Rágol"
"78",4078,"Rioja"
"79",4079,"Roquetas de Mar"
"80",4080,"Santa Cruz de Marchena"
"81",4081,"Santa Fe de Mondújar"
"82",4082,"Senés"
"83",4083,"Serón"
"84",4084,"Sierro"
"85",4085,"Somontín"
"86",4086,"Sorbas"
"87",4087,"Suflí"
"88",4088,"Tabernas"
"89",4089,"Taberno"
"90",4090,"Tahal"
"91",4091,"Terque"
"92",4092,"Tíjola"
"93",4093,"Turre"
"94",4094,"Turrillas"
"95",4095,"Uleila del Campo"
"96",4096,"Urrácal"
"97",4097,"Velefique"
"98",4098,"Vélez-Blanco"
"99",4099,"Vélez-Rubio"
"100",4100,"Vera"
"101",4101,"Viator"
"102",4102,"Vícar"
"103",4103,"Zurgena"
"104",11001,"Alcalá de los Gazules"
"105",11002,"Alcalá del Valle"
"106",11003,"Algar"
"107",11004,"Algeciras"
"108",11005,"Algodonales"
"109",11006,"Arcos de la Frontera"
"110",11007,"Barbate"
"111",11901,"Benalup-Casas Viejas"
"112",11009,"Benaocaz"
"113",11010,"Bornos"
"114",11012,"Cádiz"
"115",11013,"Castellar de la Frontera"
"116",11015,"Chiclana de la Frontera"
"117",11016,"Chipiona"
"118",11014,"Conil de la Frontera"
"119",11011,"El Bosque"
"120",11018,"El Gastor"
"121",11027,"El Puerto de Santa María"
"122",11017,"Espera"
"123",11019,"Grazalema"
"124",11020,"Jerez de la Frontera"
"125",11021,"Jimena de la Frontera"
"126",11022,"La Línea de la Concepción"
"127",11008,"Los Barrios"
"128",11023,"Medina Sidonia"
"129",11024,"Olvera"
"130",11025,"Paterna de Rivera"
"131",11026,"Prado del Rey"
"132",11028,"Puerto Real"
"133",11029,"Puerto Serrano"
"134",11030,"Rota"
"135",11031,"San Fernando"
"136",11902,"San José del Valle"
"137",11903,"San Martín del Tesorillo"
"138",11033,"San Roque"
"139",11032,"Sanlúcar de Barrameda"
"140",11034,"Setenil de las Bodegas"
"141",11035,"Tarifa"
"142",11036,"Torre Alháquime"
"143",11037,"Trebujena"
"144",11038,"Ubrique"
"145",11039,"Vejer de la Frontera"
"146",11040,"Villaluenga del Rosario"
"147",11041,"Villamartín"
"148",11042,"Zahara"
"149",14001,"Adamuz"
"150",14002,"Aguilar de la Frontera"
"151",14003,"Alcaracejos"
"152",14004,"Almedinilla"
"153",14005,"Almodóvar del Río"
"154",14006,"Añora"
"155",14007,"Baena"
"156",14008,"Belalcázar"
"157",14009,"Belmez"
"158",14010,"Benamejí"
"159",14012,"Bujalance"
"160",14013,"Cabra"
"161",14014,"Cañete de las Torres"
"162",14015,"Carcabuey"
"163",14016,"Cardeña"
"164",14019,"Castro del Río"
"165",14020,"Conquista"
"166",14021,"Córdoba"
"167",14022,"Doña Mencía"
"168",14023,"Dos Torres"
"169",14018,"El Carpio"
"170",14034,"El Guijo"
"171",14074,"El Viso"
"172",14024,"Encinas Reales"
"173",14025,"Espejo"
"174",14026,"Espiel"
"175",14027,"Fernán-Núñez"
"176",14901,"Fuente Carreteros"
"177",14028,"Fuente la Lancha"
"178",14029,"Fuente Obejuna"
"179",14030,"Fuente Palmera"
"180",14031,"Fuente-Tójar"
"181",14033,"Guadalcázar"
"182",14035,"Hinojosa del Duque"
"183",14036,"Hornachuelos"
"184",14037,"Iznájar"
"185",14017,"La Carlota"
"186",14032,"La Granjuela"
"187",14902,"La Guijarrosa"
"188",14057,"La Rambla"
"189",14065,"La Victoria"
"190",14011,"Los Blázquez"
"191",14038,"Lucena"
"192",14039,"Luque"
"193",14040,"Montalbán de Córdoba"
"194",14041,"Montemayor"
"195",14042,"Montilla"
"196",14043,"Montoro"
"197",14044,"Monturque"
"198",14045,"Moriles"
"199",14046,"Nueva Carteya"
"200",14047,"Obejo"
"201",14048,"Palenciana"
"202",14049,"Palma del Río"
"203",14050,"Pedro Abad"
"204",14051,"Pedroche"
"205",14052,"Peñarroya-Pueblonuevo"
"206",14053,"Posadas"
"207",14054,"Pozoblanco"
"208",14055,"Priego de Córdoba"
"209",14056,"Puente Genil"
"210",14058,"Rute"
"211",14059,"San Sebastián de los Ballesteros"
"212",14061,"Santa Eufemia"
"213",14060,"Santaella"
"214",14062,"Torrecampo"
"215",14063,"Valenzuela"
"216",14064,"Valsequillo"
"217",14066,"Villa del Río"
"218",14067,"Villafranca de Córdoba"
"219",14068,"Villaharta"
"220",14069,"Villanueva de Córdoba"
"221",14070,"Villanueva del Duque"
"222",14071,"Villanueva del Rey"
"223",14072,"Villaralto"
"224",14073,"Villaviciosa de Córdoba"
"225",14075,"Zuheros"
"226",18001,"Agrón"
"227",18002,"Alamedilla"
"228",18003,"Albolote"
"229",18004,"Albondón"
"230",18005,"Albuñán"
"231",18006,"Albuñol"
"232",18007,"Albuñuelas"
"233",18010,"Aldeire"
"234",18011,"Alfacar"
"235",18012,"Algarinejo"
"236",18013,"Alhama de Granada"
"237",18014,"Alhendín"
"238",18015,"Alicún de Ortega"
"239",18016,"Almegíjar"
"240",18017,"Almuñécar"
"241",18904,"Alpujarra de la Sierra"
"242",18018,"Alquife"
"243",18020,"Arenas del Rey"
"244",18021,"Armilla"
"245",18022,"Atarfe"
"246",18023,"Baza"
"247",18024,"Beas de Granada"
"248",18025,"Beas de Guadix"
"249",18027,"Benalúa"
"250",18028,"Benalúa de las Villas"
"251",18029,"Benamaurel"
"252",18030,"Bérchules"
"253",18032,"Bubión"
"254",18033,"Busquístar"
"255",18034,"Cacín"
"256",18035,"Cádiar"
"257",18036,"Cájar"
"258",18037,"Calicasas"
"259",18038,"Campotéjar"
"260",18039,"Caniles"
"261",18040,"Cáñar"
"262",18042,"Capileira"
"263",18043,"Carataunas"
"264",18044,"Cástaras"
"265",18045,"Castilléjar"
"266",18046,"Castril"
"267",18047,"Cenes de la Vega"
"268",18059,"Chauchina"
"269",18061,"Chimeneas"
"270",18062,"Churriana de la Vega"
"271",18048,"Cijuela"
"272",18049,"Cogollos de Guadix"
"273",18050,"Cogollos de la Vega"
"274",18051,"Colomera"
"275",18053,"Cortes de Baza"
"276",18054,"Cortes y Graena"
"277",18912,"Cuevas del Campo"
"278",18056,"Cúllar"
"279",18057,"Cúllar Vega"
"280",18063,"Darro"
"281",18064,"Dehesas de Guadix"
"282",18065,"Dehesas Viejas"
"283",18066,"Deifontes"
"284",18067,"Diezma"
"285",18068,"Dílar"
"286",18069,"Dólar"
"287",18915,"Domingo Pérez de Granada"
"288",18070,"Dúdar"
"289",18071,"Dúrcal"
"290",18910,"El Pinar"
"291",18902,"El Valle"
"292",18072,"Escúzar"
"293",18074,"Ferreira"
"294",18076,"Fonelas"
"295",18077,"Fornes"
"296",18078,"Freila"
"297",18079,"Fuente Vaqueros"
"298",18082,"Galera"
"299",18083,"Gobernador"
"300",18084,"Gójar"
"301",18085,"Gor"
"302",18086,"Gorafe"
"303",18087,"Granada"
"304",18088,"Guadahortuna"
"305",18089,"Guadix"
"306",18093,"Gualchos"
"307",18094,"Güéjar Sierra"
"308",18095,"Güevéjar"
"309",18096,"Huélago"
"310",18097,"Huéneja"
"311",18098,"Huéscar"
"312",18099,"Huétor de Santillán"
"313",18100,"Huétor Tájar"
"314",18101,"Huétor Vega"
"315",18102,"Íllora"
"316",18103,"Ítrabo"
"317",18105,"Iznalloz"
"318",18106,"Játar"
"319",18107,"Jayena"
"320",18108,"Jérez del Marquesado"
"321",18109,"Jete"
"322",18111,"Jun"
"323",18112,"Juviles"
"324",18114,"La Calahorra"
"325",18126,"La Malahá"
"326",18154,"La Peza"
"327",18901,"La Taha"
"328",18193,"La Zubia"
"329",18115,"Láchar"
"330",18116,"Lanjarón"
"331",18117,"Lanteira"
"332",18905,"Las Gabias"
"333",18119,"Lecrín"
"334",18120,"Lentegí"
"335",18121,"Lobras"
"336",18122,"Loja"
"337",18906,"Los Guájares"
"338",18123,"Lugros"
"339",18124,"Lújar"
"340",18127,"Maracena"
"341",18128,"Marchal"
"342",18132,"Moclín"
"343",18133,"Molvízar"
"344",18134,"Monachil"
"345",18135,"Montefrío"
"346",18136,"Montejícar"
"347",18137,"Montillana"
"348",18138,"Moraleda de Zafayona"
"349",18909,"Morelábor"
"350",18140,"Motril"
"351",18141,"Murtas"
"352",18903,"Nevada"
"353",18143,"Nigüelas"
"354",18144,"Nívar"
"355",18145,"Ogíjares"
"356",18146,"Orce"
"357",18147,"Órgiva"
"358",18148,"Otívar"
"359",18150,"Padul"
"360",18151,"Pampaneira"
"361",18152,"Pedro Martínez"
"362",18153,"Peligros"
"363",18157,"Pinos Genil"
"364",18158,"Pinos Puente"
"365",18159,"Píñar"
"366",18161,"Polícar"
"367",18162,"Polopos"
"368",18163,"Pórtugos"
"369",18164,"Puebla de Don Fadrique"
"370",18165,"Pulianas"
"371",18167,"Purullena"
"372",18168,"Quéntar"
"373",18170,"Rubite"
"374",18171,"Salar"
"375",18173,"Salobreña"
"376",18174,"Santa Cruz del Comercio"
"377",18175,"Santa Fe"
"378",18176,"Soportújar"
"379",18177,"Sorvilán"
"380",18178,"Torre-Cardela"
"381",18916,"Torrenueva Costa"
"382",18179,"Torvizcón"
"383",18180,"Trevélez"
