"CodMun";"Municipio";"Extensión superficial (Km2). 2019";"Perímetro (m). 2019";"Altitud sobre el nivel del mar (m). 2019";"Número de núcleos que componen el municipio. 2023";"Distancia a la capital (Km). 2019";"Población total. 2023";"PobHombres23";"PobNucleos23";"PobDiseminados23";"EdadMedia22";"Porcentaje de población menor de 20 años. 2023";"Porcentaje de población mayor de 65 años. 2023";"Variación relativa de la población en diez años (%). 2012-2022";"Número de extranjeros. 2022";"Principal procedencia de los extranjeros residentes. 2022";"Emigraciones. 2022";"Inmigraciones. 2022";"Nacimientos. 2023";"Defunciones. 2023";"Matrimonios. 2023";"Alcaldía. 2023";"Hoteles. 2023";"Hostales y pensiones. 2023";"Plazas en hoteles. 2023";"Plazas en hostales y pensiones. 2023";"Tasa municipal de desempleo (%). 2023";"Renta bruta media. 2022";"Renta disponible media. 2022"
4001;"Abla";45.21;46583.58;843;3;61.2;1259;652;1211;44;49.5;13.7;28.9;-14.9;117;"Marruecos";77;89;8;25;8;"PARTIDO SOCIALISTA OBRERO ESPAÑOL - ANDALUCÍA";"-";"*";"-";"*";"19.3";"18289";"15843"
4002;"Abrucena";83.61;58589.37;972;4;63.2;1274;674;1242;33;49.9;13;28.4;-10.2;116;"Marruecos";90;143;7;14;4;"PARTIDO SOCIALISTA OBRERO ESPAÑOL - ANDALUCÍA";"-";"-";"-";"-";"17.8";"17047";"15133"
4003;"Adra";89.62;51598.4;4;20;52.7;25178;12875;25050;145;40.7;21.5;15.4;2.7;3657;"Marruecos";1005;972;203;214;68;"PARTIDO POPULAR";"*";"*";"*";"*";"16.7";"18938";"16308"
4004;"Albanchez";34.9;26873.26;469;5;73.2;680;367;625;57;55.1;10.1;40.1;-5;277;"Reino Unido";70;51;2;14;3;"PARTIDO POPULAR";"-";"-";"-";"-";"13.1";"-";"-"
4005;"Alboloduy";69.68;47844.67;383;2;33.3;600;295;584;12;50.9;13.5;32;-8.8;34;"Marruecos";28;21;1;12;1;"PARTIDO POPULAR";"-";"-";"-";"-";"17";"-";"-"
4006;"Albox";168.34;61462.13;424;7;89.8;12413;6329;9438;2873;43.2;20.2;20.5;11.7;3283;"Reino Unido";890;963;108;123;39;"PARTIDO POPULAR";"*";"-";"*";"-";"16.7";"22117";"18604"
4007;"Alcolea";67.46;47324.69;750;3;65.8;805;417;761;42;48.4;12.2;24.7;-7.2;29;"Reino Unido";44;31;8;9;3;"PARTIDO POPULAR";"-";"-";"-";"-";"23.7";"-";"-"
4008;"Alcóntar";93.83;59341.2;962;6;87.7;565;310;499;61;53.8;11.2;35.2;-13.8;50;"Reino Unido";37;61;0;15;0;"PARTIDO POPULAR";"-";"*";"-";"*";"13.4";"-";"-"
4009;"Alcudia de Monteagud";15.51;22476.27;1012;1;57.1;131;68;126;6;53.4;5.3;32.8;-11.9;9;"Reino Unido";15;16;1;1;0;"PARTIDO POPULAR";"-";"-";"-";"-";"-";"-";"-"
4010;"Alhabia";16.38;18385.56;288;1;26.7;714;378;638;70;45.1;16.5;20.2;0.7;32;"Rumanía";34;58;5;7;3;"PARTIDO POPULAR";"-";"-";"-";"-";"21.9";"-";"-"
4011;"Alhama de Almería";26.22;25587.74;518;2;23;3839;1946;3457;360;42.9;20.2;19.2;-2.3;371;"Rumanía";169;251;30;48;15;"PARTIDO POPULAR";"*";"-";"*";"-";"18.600000000000001";"19659";"16955"
4012;"Alicún";5.87;14337.85;421;1;27.2;221;108;214;7;48.6;14.5;27.1;-19.9;4;"se";6;10;2;2;1;"PARTIDO SOCIALISTA OBRERO ESPAÑOL - ANDALUCÍA";"-";"-";"-";"-";"22.6";"-";"-"
4013;"Almería";295.51;127327.06;20;17;0;200665;97782;193706;6872;41.8;21.3;17.4;4.1;21871;"Marruecos";7040;9324;1657;1595;657;"PARTIDO POPULAR";"25";"8";"4481";"245";"20.399999999999999";"26993";"22002"
4014;"Almócita";30.8;39302.65;833;1;47;209;106;203;4;50.7;10.5;21.5;6.9;17;"Marruecos";18;25;2;3;2;"PARTIDO SOCIALISTA OBRERO ESPAÑOL - ANDALUCÍA";"-";"-";"-";"-";"17.899999999999999";"-";"-"
