324;BARNATRON S.A.;Josep Anselmo Clave, 100;8950;Esplugues de Llobregat (Barcelona)
352;BAXTER HEALTHCARE LIMITED;Caxton Way;IP24 3SE;Thetford, Norfolk
403;LABORATORIOS BETAMADRILENO S.L.;Area Empresarial Andalucia, Sector 4, Parcela 28;28906;Getafe (Madrid)
435;BIOGLAN LABORATORIES LIMITED;5 Hunting Gate;SG4 0TJ;Hitchin Herts
606;CHEFARO ESPAÑOLA, S.A.;Ctra. Hospitalet, 147-149;8940;Cornella de Llobregat (Barcelona)
991;F5 PROFAS, S.L.;"Via de los Poblados, 17; 3-14";28033;Madrid
1045;FERRER FARMA S.A.;Gran Via Carlos III, 94;8028;Barcelona
2099;LABORATORIOS PARKE DAVIS S.L.;Avda. de Europa, 20 B. Parque Empresarial La Moraleja;28108;Alcobendas (Madrid)
2218;PHOTOCURE ASA;Hoffsveien 4;NO-0275;Oslo
2317;LABORATORIO QUIMICO BIOLOGICO PELAYO S.A.;Tallers, 16;8001;Barcelona
2328;RICARDO BESCANSA S.L.;Via Pasteur nº 8-Pol. Ind. Del Tambre;15890;Santiago de Compostela (Coruña)
2358;RECORDATI ESPAÑA, S.L.;Isla de la Palma, 37, 2ª Planta;28700;San Sebastián de los Reyes (Madrid)
2513;LABORATORIOS SALVAT S.A.;Gall, 30-36;8950;Esplugues de Llobregat (Barcelona)
2616;LABORATORIOS SERRA PAMIES S.A.;Carretera de Castellvell, 24;43206;Reus (Tarragona)
2876;TARBIS FARMA S.L.;Gran Via Carlos III, 94;8028;Barcelona
2879;LABORATORIO TAU S.A.;Serrano Galvache, 56 - Edificio Roble;28033;Madrid
2884;TECNIMEDE ESPAÑA INDUSTRIA FARMACEUTICA S.A.;Avda. Pio XII, 92, Edificio Ural A, Planta 16-4;28036;Madrid
2896;TEOFARMA S.R.L.;Via Fratelli Cervi, 8;I-27010;Valle Salimbene (Pavia)
2990;UNIVERSAL FARMA S.L.;Gran Via Carlos III, 98 - 7ª planta;8028;Barcelona
3051;LABORATORIOS VISFARM S.L.;Gran Via de les Corts Catalanes, 764;8013;Barcelona
4618;LABORATORIOS DAVUR S.L.;Teide, 4-planta baja. Poligono Empresarial La Marina;28703;San Sebastián de los Reyes (Madrid)
4954;PHARMATHEN S.A.;Dervenakion 6Str;GR-15351;Pallini Attiki
5205;INNOVA FARMACEUTICAL, S.L.;Francisco Carbonell, 18;8034;Barcelona
