3219;2A;RANITIDINA;
3220;2CH;RANITIDINA HIDROCLORURO;
5600;5A;RIBES NIGRUM;
6380;9A;RETINOL;
6381;9AC;RETINOL ACETATO;
8343;9B;VITAMINA A;
6383;9PA;RETINOL PALMITATO;
1;10A;ERGOCALCIFEROL;
350;12A;PARACETAMOL;
1903;14A;CAFEINA;
1907;14CI;CAFEINA CITRATO;
1909;14ZU;CAFEINA ANHIDRA;
2390;16A;ERGOTAMINA;
2391;16TB;ERGOTAMINA TARTRATO;
2841;18A;CINEOL;
2842;18B;EUCALIPTOL;
3221;20A;CLORDIAZEPOXIDO;
3223;20CH;CLORDIAZEPOXIDO HIDROCLORURO;
3431;21A;CALCIO;
3432;21CA;CALCIO CARBONATO;
3433;21CL;CALCIO CLORURO;
3438;21FO;CALCIO FOSFATO;
3442;21QZ;CALCIO CLORURO DIHIDRATO;
3445;21VW;CALCIO CLORURO ANHIDRO;
3629;22A;MAGNESIO;
3631;22BR;MAGNESIO BROMURO;
3632;22CA;MAGNESIO CARBONATO;
3633;22CL;MAGNESIO CLORURO;
10904;22CW;MAGNESIO CLORURO HEXAHIDRATO;
3635;22FL;MAGNESIO FLUORURO;
3637;22HH;MAGNESIO HIDROXIDO;
3640;22OX;MAGNESIO OXIDO;
11441;22OXL;MAGNESIO OXIDO LIGERO;
3645;22SU;MAGNESIO SULFATO;
3646;22TE;MAGNESIO TRISILICATO;
3647;22VU;MAGNESIO SULFATO HEPTAHIDRATO;
3649;22YA;MAGNESIO IODURO;
3839;24A;MANGANESO;
7889;24LX;MANGANESO SULFATO MONOHIDRATO;
3896;26A;LISINA;
3900;26CH;LISINA HIDROCLORURO;
4522;33A;ALPROSTADIL;
4683;34A;PIRIDOXINA;
4687;34CH;PIRIDOXINA HIDROCLORURO;
3083;34CX;PIRIDOXINA ALFA-CETOGLUTARATO;
4801;35A;PIRIDOXAL;
4802;35CH;PIRIDOXAL HIDROCLORURO;
4944;36A;COLECALCIFEROL;
8577;36CS;COLECALCIFEROL-COLESTEROL;
6841;37A;ISOTRETINOINA;
5383;40A;AURANOFINA;
6964;41A;CASANTRANOL;
5420;42A;PIPERACILINA;
5421;42SO;PIPERACILINA SODICA;
5449;44A;CLORANFENICOL;
5454;44SN;CLORANFENICOL SUCCINATO SODIO;
5473;45A;AZATIOPRINA;
5484;46A;GUAIFENESINA;
5488;46D;GUAYACOL GLICERIL ETER;
5489;46E;GUAYACOLATO DE GLICERILO;
5549;48A;LIDOCAINA;
5551;48CH;LIDOCAINA HIDROCLORURO;
15957;48CM;LIDOCAINA HIDROCLORURO MONOHIDRATO;
5569;49A;PROMETAZINA;
5571;49CH;PROMETAZINA HIDROCLORURO;
5636;51A;ESTREPTOMICINA;
5640;51SU;ESTREPTOMICINA SULFATO;
5700;54A;HIDROCORTISONA;
5701;54AC;HIDROCORTISONA ACETATO;
6947;54BG;HIDROCORTISONA BUTIRATO;
5702;54FN;HIDROCORTISONA FOSFATO SODIO;
7951;54GX;HIDROCORTISONA ACEPONATO;
5704;54HB;HIDROCORTISONA SUCCINATO;
5705;54SN;HIDROCORTISONA SUCCINATO SODIO;
5730;55A;FENOBARBITAL;
5754;56A;CIANOCOBALAMINA;
5755;56B;VITAMINA B12;
5776;57A;TIAMINA;
5779;57CH;TIAMINA HIDROCLORURO;
5783;57NI;TIAMINA NITRATO;
5821;59A;RIBOFLAVINA;
5892;61A;ASCORBICO ACIDO;
5893;61B;VITAMINA C;
5894;61CO;ASCORBATO CALCIO;
5897;61SO;ASCORBATO SODIO;
5920;62A;PAPAINA;
5942;63A;CITRICO ACIDO;
5954;63PK;CITRATO POTASIO;
5955;63SO;CITRATO SODIO;
6640;63TM;CITRATO TRISODIO;
5956;63ZU;CITRICO ACIDO ANHIDRO;
889;64A;MONTELUKAST;
890;64SO;MONTELUKAST SODICO;
6002;66A;DIHIDROESTREPTOMICINA;
6003;66SU;DIHIDROESTREPTOMICINA SULFATO;
6030;68A;BLEOMICINA;
6031;68SU;BLEOMICINA SULFATO;
6055;69A;ALUMINIO;
6058;69HH;ALUMINIO HIDROXIDO;
6064;69SK;ALUMINIO POTASIO SULFATO;
8013;69UF;ALUMINIO ACETOTARTRATO;
6908;72A;IMIPENEM;
12667;72MH;IMIPENEM MONOHIDRATO;
6188;76A;BUSULFANO;
6205;77A;SUCRALFATO;
6228;79A;POLIMIXINA B;
6229;79SU;POLIMIXINA B SULFATO;
6238;80A;BACITRACINA;
734;80KZ;BACITRACINA-ZINC;
6251;81A;NEOMICINA;
6253;81SU;NEOMICINA SULFATO;
6909;82A;CILASTATINA;
6910;82SO;CILASTATINA SODICA;
6283;83A;MENTA PIPERITA;
11039;83B;MENTA;
12472;83KR;MENTA PIPERITA, ACEITE ESENCIAL DE;
6286;83XD;MENTA PIPERITA HOJA;
6294;84A;CLOROFILA;
7186;84WA;CLOROFILA EXTRACTO;
6300;85A;BENZOCAINA;
6301;85B;P-AMINOBENZOATO DE ETILO;
6311;86A;NITROFURANTOINA;
6328;87A;BISACODILO;
6336;88A;LORMETAZEPAM;
6361;89A;CLOXACILINA;
6362;89SO;CLOXACILINA SODICA;
6384;90A;TRIMETOPRIMA;
6425;93A;NICARDIPINO;
6426;93CH;NICARDIPINO HIDROCLORURO;
6449;94A;VIRUS PAROTIDITIS;
7145;94YG;VIRUS PAROTIDITIS ATENUADO;
6557;98A;ACETOHIDROXAMICO ACIDO;
6582;99A;ALPRAZOLAM;
1183;100A;BENAZEPRIL;
1189;100CH;BENAZEPRIL HIDROCLORURO;
25;101A;DEANOL;
26;101AB;DEANOL ACEGLUMATO;
77;103A;SERINA;
78;103FO;SERINA FOSFATO;
117;105A;FENOXIMETILPENICILINA;
119;105BZ;FENOXIMETILPENICILINA-BENZATINA;
120;105CO;FENOXIMETILPENICILINA CALCICA;
121;105PK;FENOXIMETILPENICILINA POTASICA;
131;106A;BENCILPENICILINA;
133;106BZ;BENCILPENICILINA-BENZATINA;
134;106PK;BENCILPENICILINA POTASICA;
135;106PM;BENCILPENICILINA PROCAINA;
136;106SO;BENCILPENICILINA SODICA;
149;107A;NIFLUMICO ACIDO;
159;108A;AMOXICILINA;
160;108SO;AMOXICILINA SODICA;
161;108TC;AMOXICILINA TRIHIDRATO;
202;110A;TRIPROLIDINA;
203;110CH;TRIPROLIDINA HIDROCLORURO;
208;111A;METAMIZOL;
6150;111LQ;METAMIZOL MAGNESICO HEXAHIDRATO;
212;111MG;METAMIZOL MAGNESICO;
12713;111NH;METAMIZOL SODICO MONOHIDRATO;
213;111SO;METAMIZOL SODICO;
219;112A;MIRTECAINA;
222;112LS;MIRTECAINA LAURILSULFATO;
276;117A;TETRACICLINA;
278;117CH;TETRACICLINA HIDROCLORURO;
300;118A;ATROPINA;
12749;118LX;ATROPINA SULFATO MONOHIDRATO;
303;118SU;ATROPINA SULFATO;
318;119A;GLUCOSA;
322;119MH;GLUCOSA MONOHIDRATO;
323;119ZU;GLUCOSA ANHIDRA;
356;120A;CICLOFOSFAMIDA;
16225;120MH;CICLOFOSFAMIDA MONOHIDRATO;
444;123A;POTASIO;
445;123BI;POTASIO BICARBONATO;
447;123CA;POTASIO CARBONATO;
448;123CL;CLORURO DE POTASIO;
453;123HH;POTASIO HIDROXIDO;
456;123QE;POTASIO CLORATO;
458;123SU;POTASIO SULFATO;
460;123YA;POTASIO IODURO;
479;124A;CITARABINA;
502;125A;SODIO;
503;125BI;SODIO BICARBONATO;
507;125CL;SODIO CLORURO;
508;125DC;SODIO PIROFOSFATO;
509;125FD;SODIO HIDROGENOFOSFATO;
510;125FL;SODIO FLUORURO;
511;125FM;SODIO DIHIDROGENOFOSFATO;
512;125FO;SODIO FOSFATO;
514;125HH;SODIO HIDROXIDO;
12666;125HQ;SODIO HIDROGENO CARBONATO;
10801;125MU;SODIO SULFATO ANHIDRO;
1559;125PD;SODIO PERBORATO;
1567;125SU;SODIO SULFATO;
10490;125VM;SODIO BIBORATO;
1571;125YZ;SODIO CARBONATO ANHIDRO;
1616;128A;CLORAMBUCILO;
1629;129A;CLOPERASTINA;
1630;129CH;CLOPERASTINA HIDROCLORURO;
6693;129EZ;CLOPERASTINA FENDIZOATO;
1677;131A;BORICO ACIDO;
6622;132A;CARMELOSA;
6706;132SO;CARMELOSA SODICA;
1733;133A;RESORCINOL;
1790;136A;SALICILICO ACIDO;
1794;136DO;SALICILATO DIETILAMINA;
1797;136MD;SALICILATO METILO;
1823;137A;PIKETOPROFENO;
1846;138A;ZINC;
6663;138AC;ZINC ACETATO;
10047;138AY;ZINC ACETATO DIHIDRATO;
1848;138CL;ZINC CLORURO;
1849;138OX;ZINC OXIDO;
1910;140A;COBRE;
4509;140LW;COBRE SULFATO PENTAHIDRATO;
9355;140TH;[TETRAKIS (2-METOXI-2-METILPROPIL-1-ISOCIANURO) COBRE (I)], TETRAFLUOROBORATO DE;
1958;142A;COLCHICINA;
2007;144A;DEXPANTENOL;
2009;144C;D-PANTENOL;
2055;146A;SULFACETAMIDA;
2082;147A;COMPLEJO COAGULANTE ANTIINHIBIDOR;
2106;148A;EFEDRINA;
2109;148CH;EFEDRINA HIDROCLORURO;
2111;148SU;EFEDRINA SULFATO;
2129;149A;FOLICO ACIDO;
2163;150A;FLUOCINOLONA;
2164;150AD;FLUOCINOLONA ACETONIDO;
2173;151A;FRAMICETINA;
2175;151SU;FRAMICETINA SULFATO;
2192;152A;HIGADO BACALAO;
2193;152WP;ACEITE HIGADO BACALAO;
2219;153A;OLEA EUROPEA;
2220;153WM;ACEITE OLIVA;
2221;153XD;OLEA EUROPEA HOJAS;
2257;155A;TRETINOINA;
2287;156A;COBAMAMIDA;
2311;157A;CARNITINA;
2313;157CH;CARNITINA HIDROCLORURO;
2340;158A;NORETISTERONA;
2341;158AC;NORETISTERONA ACETATO;
6707;159A;FLUVOXAMINA;
6708;159MA;FLUVOXAMINA MALEATO;
2392;160A;ESTRADIOL;
744;160HA;ESTRADIOL HEMIHIDRATO;
2397;160VA;ESTRADIOL VALERATO;
2418;161A;SELENIO;
2419;161SL;SELENIO SULFURO;
2439;162A;CODEINA;Lista III
2445;162CH;CODEINA HIDROCLORURO;Lista III
2446;162FJ;CODEINA FOSFATO HEMIHIDRATO;Lista III
2447;162FO;CODEINA FOSFATO;Lista III
2476;164A;NANDROLONA;
2478;164DA;NANDROLONA DECANOATO;
2503;165A;TUBERCULINA;
2516;166A;FENILBUTAZONA;
2530;167A;INDOMETACINA;
6709;168A;IOPAMIDOL;
2628;171A;DACARBAZINA;
2658;173A;INSULINA SOLUBLE NEUTRA;
7244;173JD;INSULINA SOLUBLE NEUTRA HUMANA PRB;
